K,group,resource,task_id,start_s,end_s,half_open
2,1,A_airframe,Q23-001,0.0,1312.4715825390365,True
2,1,A_airframe,Q23-004,0.0,2007.7326591437009,True
2,1,A_airframe,Q23-006,4659.542,6921.820664396718,True
2,1,A_airframe,Q23-010,2008.0,3703.759325243763,True
2,1,A_airframe,Q23-012,2655.0,3967.6157157640037,True
2,1,A_airframe,Q23-013,4847.0,7023.205884825228,True
2,2,A_airframe,Q23-016,0.0,1163.5358620695392,True
2,1,A_airframe,Q23-018,2322.0,4310.962351014692,True
2,1,A_airframe,Q23-019,2180.0,4150.211232633945,True
2,1,A_airframe,Q23-020,8018.357,10028.350455329422,True
2,1,B_airframe,Q23-008,5827.0,7752.772436047869,True
2,2,B_airframe,Q23-015,6631.0,7760.6308045644855,True
2,1,B_airframe,Q23-017,0.0,1863.8014006521175,True
2,1,B_airframe,Q23-021,0.0,2115.40334600042,True
2,1,B_airframe,Q23-022,2421.0,4519.481447098818,True
2,1,B_airframe,Q23-023,2503.0,4462.897844293269,True
2,1,B_airframe,Q23-024,8094.552,10262.448402439148,True
2,1,C_airframe,Q23-002,0.0,1627.4267416985467,True
2,1,C_airframe,Q23-003,0.0,1363.4267416985467,True
2,1,C_airframe,Q23-005,7983.811,10094.819126582537,True
2,1,C_airframe,Q23-007,5548.0,7983.810858112425,True
2,1,C_airframe,Q23-009,8107.54,10280.72549146779,True
2,1,C_airframe,Q23-011,1628.0,3376.0456170960524,True
2,1,C_airframe,Q23-014,1364.0,3435.759889419427,True
2,1,C_airframe,Q23-025,4105.73,6519.5094128207875,True
2,1,A_battery,Q23-001,0.0,2178.782682265257,True
2,1,A_battery,Q23-004,0.0,3353.918736410854,True
2,1,A_battery,Q23-006,4659.542,8283.029724141235,True
2,1,A_battery,Q23-010,2008.0,4818.944570132077,True
2,1,A_battery,Q23-012,2655.0,4845.93138703198,True
2,1,A_battery,Q23-013,4847.0,8450.978636986982,True
2,2,A_battery,Q23-016,0.0,1982.68645564108,True
