货箱编号,物资类型,架次编号,服务区编号,是否首批保障,期望送达时间（s）,首批截止时间（s）,交付完成时刻（s）,期望时间迟到（s）,硬时限检查
S001-MED-01,医疗物资,Q23-001,S001,True,3600.0,3600.0,969.3591246028516,0.0,医疗期望送达:是;首批截止:是
S001-MED-02,医疗物资,Q23-001,S001,False,3600.0,,969.3591246028516,0.0,医疗期望送达:是
S001-WAT-01,饮用水,Q23-001,S001,True,3600.0,3600.0,969.3591246028516,0.0,首批截止:是
S001-WAT-02,饮用水,Q23-002,S001,False,3600.0,,1314.8983708492733,0.0,无需硬时限
S001-WAT-03,饮用水,Q23-002,S001,False,3600.0,,1314.8983708492733,0.0,无需硬时限
S001-WAT-04,饮用水,Q23-002,S001,False,3600.0,,1314.8983708492733,0.0,无需硬时限
S001-FOD-01,应急食品,Q23-002,S001,False,7200.0,,1314.8983708492733,0.0,无需硬时限
S001-FOD-02,应急食品,Q23-002,S001,False,7200.0,,1314.8983708492733,0.0,无需硬时限
S001-FOD-03,应急食品,Q23-002,S001,False,7200.0,,1314.8983708492733,0.0,无需硬时限
S001-HYG-01,生活卫生用品,Q23-002,S001,False,10800.0,,1314.8983708492733,0.0,无需硬时限
S001-HYG-02,生活卫生用品,Q23-002,S001,False,10800.0,,1314.8983708492733,0.0,无需硬时限
S001-WAT-05,饮用水,Q23-003,S001,False,3600.0,,1050.8983708492733,0.0,无需硬时限
S001-WAT-06,饮用水,Q23-003,S001,False,3600.0,,1050.8983708492733,0.0,无需硬时限
S001-WAT-07,饮用水,Q23-003,S001,False,3600.0,,1050.8983708492733,0.0,无需硬时限
S001-WAT-08,饮用水,Q23-003,S001,False,3600.0,,1050.8983708492733,0.0,无需硬时限
S002-MED-01,医疗物资,Q23-004,S002,True,3600.0,3600.0,1285.8063295718503,0.0,医疗期望送达:是;首批截止:是
S002-WAT-01,饮用水,Q23-004,S002,True,3600.0,3600.0,1285.8063295718503,0.0,首批截止:是
S002-WAT-02,饮用水,Q23-005,S002,False,3600.0,,4924.9140632912695,1324.9140632912695,无需硬时限
S002-WAT-03,饮用水,Q23-005,S002,False,3600.0,,4924.9140632912695,1324.9140632912695,无需硬时限
S002-WAT-04,饮用水,Q23-005,S002,False,3600.0,,4924.9140632912695,1324.9140632912695,无需硬时限
S002-FOD-01,应急食品,Q23-005,S002,False,7200.0,,4924.9140632912695,0.0,无需硬时限
S002-FOD-02,应急食品,Q23-005,S002,False,7200.0,,4924.9140632912695,0.0,无需硬时限
S002-HYG-01,生活卫生用品,Q23-005,S002,False,10800.0,,4924.9140632912695,0.0,无需硬时限
S003-MED-01,医疗物资,Q23-006,S003,True,7200.0,7200.0,5113.112665531692,0.0,医疗期望送达:是;首批截止:是
S003-WAT-01,饮用水,Q23-006,S003,True,7200.0,7200.0,5113.112665531692,0.0,首批截止:是
S003-WAT-02,饮用水,Q23-007,S003,False,7200.0,,7193.365429056213,0.0,无需硬时限
S003-WAT-03,饮用水,Q23-007,S003,False,7200.0,,7193.365429056213,0.0,无需硬时限
S003-WAT-04,饮用水,Q23-007,S003,False,7200.0,,7193.365429056213,0.0,无需硬时限
S003-FOD-01,应急食品,Q23-007,S003,False,10800.0,,7193.365429056213,0.0,无需硬时限
S003-FOD-02,应急食品,Q23-007,S003,False,10800.0,,7193.365429056213,0.0,无需硬时限
S003-HYG-01,生活卫生用品,Q23-007,S003,False,14400.0,,7193.365429056213,0.0,无需硬时限
S004-MED-01,医疗物资,Q23-008,S004,True,7200.0,7200.0,7071.532884690601,0.0,医疗期望送达:是;首批截止:是
S004-WAT-01,饮用水,Q23-008,S004,True,7200.0,7200.0,7071.532884690601,0.0,首批截止:是
S004-WAT-02,饮用水,Q23-009,S004,False,7200.0,,7244.562745733895,44.5627457338951,无需硬时限
S004-WAT-03,饮用水,Q23-009,S004,False,7200.0,,7244.562745733895,44.5627457338951,无需硬时限
S004-FOD-01,应急食品,Q23-009,S004,False,10800.0,,7244.562745733895,0.0,无需硬时限
S004-HYG-01,生活卫生用品,Q23-009,S004,False,14400.0,,7244.562745733895,0.0,无需硬时限
S005-MED-01,医疗物资,Q23-010,S005,True,10800.0,10800.0,3138.636329288548,0.0,医疗期望送达:是;首批截止:是
S005-WAT-01,饮用水,Q23-010,S005,True,10800.0,10800.0,3138.636329288548,0.0,首批截止:是
S005-WAT-02,饮用水,Q23-011,S005,False,10800.0,,2870.657808548026,0.0,无需硬时限
